Waktu Tarik,Sumber,Kategori,Judul,URL
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Lahan Pilot Project Kedelai Cariu Diproyeksikan Naik Jadi 100 Ha di 2027,https://news.detik.com/berita/d-8649891/lahan-pilot-project-kedelai-cariu-diproyeksikan-naik-jadi-100-ha-di-2027
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Hujan Guyur Kalbar dan Kalteng, OMC Diperpanjang hingga 14 September",https://news.detik.com/berita/d-8649917/hujan-guyur-kalbar-dan-kalteng-omc-diperpanjang-hingga-14-september
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Jajaran BULOG Seluruh RI Turun ke Pasar, Pastikan Stok & Harga Beras Aman",https://news.detik.com/berita/d-8649914/jajaran-bulog-seluruh-ri-turun-ke-pasar-pastikan-stok-harga-beras-aman
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Viral Turis India Dijambret hingga Histeris di Menteng, Polisi Selidiki",https://news.detik.com/berita/d-8649913/viral-turis-india-dijambret-hingga-histeris-di-menteng-polisi-selidiki
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Catat! Car Free Day di Jalan Sudirman Bogor Kembali Digelar Besok,https://news.detik.com/berita/d-8649897/catat-car-free-day-di-jalan-sudirman-bogor-kembali-digelar-besok
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Rumah di Cileungsi Bogor Kebakaran Saat Ditinggal Penghuni Antar Anak,https://news.detik.com/berita/d-8649895/rumah-di-cileungsi-bogor-kebakaran-saat-ditinggal-penghuni-antar-anak
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,TNI AD Ungkap Penyebab Jembatan Pangandaran Ambruk Usai Diresmikan Bupati,https://news.detik.com/berita/d-8641586/tni-ad-ungkap-penyebab-jembatan-pangandaran-ambruk-usai-diresmikan-bupati
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Israel Siapkan Rencana Usir Warga Gaza, Tunggu Persetujuan AS",https://news.detik.com/internasional/d-8645967/israel-siapkan-rencana-usir-warga-gaza-tunggu-persetujuan-as
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Kepala SPPG Usai 566 Santri Sidoarjo Keracunan MBG: Mohon Maaf, Saya Menyesal",https://news.detik.com/berita/d-8645330/kepala-sppg-usai-566-santri-sidoarjo-keracunan-mbg-mohon-maaf-saya-menyesal
2026-09-06 02:45:11,Kompas.com Nasional,Nasional & Kebijakan,"""Uang Haram"" Bos Blueray John Field yang Mengalir ke Bea Cukai Nasional",https://nasional.kompas.com/read/2026/09/03/05140001/uang-haram-bos-blueray-john-field-yang-mengalir-ke-bea-cukai
2026-09-06 02:45:11,Kompas.com Nasional,Nasional & Kebijakan,AHY: Kita Patut Belajar dari Pemerintahan SBY.. Nasional,https://nasional.kompas.com/read/2026/09/05/21410491/ahy-kita-patut-belajar-dari-pemerintahan-sby
2026-09-06 02:45:11,Kompas.com Nasional,Nasional & Kebijakan,"Kawal CAT Calon Petugas Haji 2027, Irjen Kemenhaj Pastikan Tidak Ada Suap dan Gratifikasi Nasional",https://nasional.kompas.com/read/2026/09/05/21241711/kawal-cat-calon-petugas-haji-2027-irjen-kemenhaj-pastikan-tidak-ada-suap-dan
2026-09-06 02:45:11,Kompas.com Nasional,Nasional & Kebijakan,"AHY: Kekuasaan Ada Batasnya, Jangan Halangi Hak Rakyat untuk Memilih Nasional",https://nasional.kompas.com/read/2026/09/05/21144141/ahy-kekuasaan-ada-batasnya-jangan-halangi-hak-rakyat-untuk-memilih
2026-09-06 02:45:11,Kompas.com Nasional,Nasional & Kebijakan,AHY Akui Rakyat Masih Tertekan Harga Kebutuhan hingga Sulit Dapat Pekerjaan Nasional,https://nasional.kompas.com/read/2026/09/05/21083461/ahy-akui-rakyat-masih-tertekan-harga-kebutuhan-hingga-sulit-dapat-pekerjaan
2026-09-06 02:45:11,Kompas.com Nasional,Nasional & Kebijakan,"Mendagri Tinjau Bedah Rumah di Bukit Duri, Minta Pemda Percepat Perbaikan Hunian Nasional",https://nasional.kompas.com/read/2026/09/05/21042341/mendagri-tinjau-bedah-rumah-di-bukit-duri-minta-pemda-percepat-perbaikan
